1234567890;26.05.25;14:22:30;00:10:00;город;0.50
9876543210;25.05.25;09:15:45;00:07:30;межгород;1.20
5678901234;24.05.25;18:05:00;00:20:15;мобильный;0.80
3456789012;23.05.25;21:40:20;00:12:40;международный;2.50
2345678901;22.05.25;08:30:10;00:05:50;город;0.50
8765432109;21.05.25;16:55:25;00:25:10;межгород;1.20
6543210987;20.05.25;11:05:35;00:15:40;мобильный;0.80
4321098765;19.05.25;23:10:50;00:09:20;международный;2.50
5678901234;18.05.25;07:20:15;00:13:55;город;0.50
7890123456;17.05.25;15:45:30;00:30:30;межгород;1.20
9012345678;16.05.25;10:10:05;00:08:45;мобильный;0.80
3210987654;15.05.25;20:25:40;00:11:35;международный;2.50
